%time,field.buf0,field.buf1,field.buf2,field.buf3,field.buf4,field.buf5,field.buf6,field.buf7,field.buf8,field.buf9,field.buf10,field.buf11,field.buf12,field.buf13,field.buf14,field.buf15,field.buf16,field.buf17,field.buf18,field.buf19,field.buf20,field.buf21,field.buf22,field.buf23,field.buf24,field.buf25,field.buf26,field.buf27,field.buf28,field.buf29,field.buf30,field.buf31,field.buf32,field.buf33,field.buf34,field.buf35,field.buf36,field.buf37,field.buf38,field.buf39,field.buf40,field.buf41,field.buf42,field.buf43,field.buf44,field.buf45,field.buf46,field.buf47,field.buf48
1562068989775319221,23,180,89,129,34,0,0,0,180,108,128,41,33,0,0,0,188,84,114,41,33,0,0,0,0,0,59,61,0,0,69,189,0,32,125,191,0,152,55,191,0,32,203,189,0,178,137,191,0
1562068989783468539,226,111,242,129,34,0,0,0,18,87,25,42,33,0,0,0,170,24,11,42,33,0,0,0,0,0,60,61,0,0,99,189,0,80,123,191,0,72,238,190,0,64,28,61,0,12,120,191,0
1562068989793196986,171,227,138,130,34,0,0,0,42,241,177,42,33,0,0,0,162,195,163,42,33,0,0,0,0,0,30,61,0,0,98,189,0,16,126,191,0,80,67,191,0,128,187,62,0,84,108,191,0
1562068989804112211,117,159,35,131,34,0,0,0,70,90,74,43,33,0,0,0,108,66,60,43,33,0,0,0,0,0,26,61,0,0,87,189,0,240,126,191,0,60,112,191,0,64,28,189,0,108,104,191,0
1562068989813104275,62,19,188,131,34,0,0,0,32,221,226,43,33,0,0,0,150,192,212,43,33,0,0,0,0,0,34,61,0,0,80,189,0,112,126,191,0,4,38,191,0,176,51,190,0,214,131,191,0
1562068989823268136,9,207,84,132,34,0,0,0,48,172,123,44,33,0,0,0,120,109,109,44,33,0,0,0,0,0,35,61,0,0,100,189,0,128,125,191,0,232,253,190,0,64,28,61,0,178,137,191,0
1562068989835015243,209,66,237,132,34,0,0,0,76,247,19,45,33,0,0,0,124,233,5,45,33,0,0,0,0,0,24,61,0,0,95,189,0,128,124,191,0,164,53,191,0,128,187,188,0,208,132,191,0
1562068989843176098,156,254,133,133,34,0,0,0,120,185,172,45,33,0,0,0,52,152,158,45,33,0,0,0,0,0,31,61,0,0,99,189,0,224,124,191,0,36,116,191,0,64,156,61,0,12,120,191,0
1562068989853122345,101,114,30,134,34,0,0,0,166,31,69,46,33,0,0,0,198,13,55,46,33,0,0,0,0,0,41,61,0,0,98,189,0,208,127,191,0,16,36,191,0,128,59,189,0,120,102,191,0
1562068989863111944,46,230,182,134,34,0,0,0,212,158,221,46,33,0,0,0,128,166,207,46,33,0,0,0,0,0,59,61,0,0,87,189,0,96,124,191,0,196,6,191,0,104,191,190,0,184,136,191,0
1562068989873888802,253,121,80,135,34,0,0,0,88,123,119,47,33,0,0,0,54,31,105,47,33,0,0,0,0,0,70,61,0,0,50,189,0,112,124,191,0,204,88,191,0,160,140,61,0,84,108,191,0
1562068989883094037,195,93,232,135,34,0,0,0,126,48,15,48,33,0,0,0,128,231,0,48,33,0,0,0,0,0,42,61,0,0,95,189,0,0,126,191,0,128,59,191,0,0,250,187,0,64,156,191,0
1562068989893638082,139,209,128,136,34,0,0,0,74,158,167,48,33,0,0,0,14,92,153,48,33,0,0,0,0,0,38,61,0,0,82,189,0,64,124,191,0,68,69,191,0,32,75,62,0,118,147,191,0
1562068989903289881,86,141,25,137,34,0,0,0,192,77,64,49,33,0,0,0,138,15,50,49,33,0,0,0,0,0,44,61,0,0,78,189,0,0,127,191,0,44,73,191,0,128,187,61,0,196,134,191,0
1562068989915564086,31,1,178,137,34,0,0,0,212,180,216,49,33,0,0,0,60,136,202,49,33,0,0,0,0,0,51,61,0,0,79,189,0,0,125,191,0,124,18,191,0,64,28,190,0,0,122,191,0
1562068989923722237,235,4,75,138,34,0,0,0,60,169,113,50,33,0,0,0,138,125,99,50,33,0,0,0,0,0,32,61,0,0,114,189,0,208,124,191,0,24,246,190,0,128,187,188,0,202,133,191,0
1562068989933547527,178,48,227,138,34,0,0,0,120,212,9,51,33,0,0,0,62,194,251,50,33,0,0,0,0,0,23,61,0,0,77,189,0,96,125,191,0,72,238,190,0,232,128,190,0,84,108,191,0
1562068989945359516,123,164,123,139,34,0,0,0,116,73,162,51,33,0,0,0,252,71,148,51,33,0,0,0,0,0,29,61,0,0,93,189,0,160,125,191,0,236,41,191,0,0,122,61,0,214,131,191,0
1562068989954541147,68,24,20,140,34,0,0,0,20,187,58,52,33,0,0,0,82,179,44,52,33,0,0,0,0,0,68,61,0,0,84,189,0,48,125,191,0,224,43,191,0,128,59,61,0,106,149,191,0
1562068989963631967,16,28,173,140,34,0,0,0,100,149,211,52,33,0,0,0,42,141,197,52,33,0,0,0,0,0,49,61,0,0,105,189,0,208,124,191,0,200,47,191,0,0,250,60,0,12,120,191,0
1562068989974576906,217,143,69,141,34,0,0,0,118,35,111,53,33,0,0,0,78,238,93,53,33,0,0,0,0,0,72,61,0,0,74,189,0,160,124,191,0,96,234,190,0,192,218,189,0,232,128,191,0
1562068989983223621,162,3,222,141,34,0,0,0,178,126,4,54,33,0,0,0,224,109,246,53,33,0,0,0,0,0,47,61,0,0,95,189,0,32,124,191,0,124,18,191,0,208,4,190,0,36,116,191,0
1562068989995238698,108,191,118,142,34,0,0,0,216,35,157,54,33,0,0,0,12,23,143,54,33,0,0,0,0,0,50,61,0,0,106,189,0,160,123,191,0,112,20,191,0,128,187,60,0,172,138,191,0
1562068990003202345,53,51,15,143,34,0,0,0,6,233,53,55,33,0,0,0,56,197,39,55,33,0,0,0,0,0,20,61,0,0,88,189,0,64,125,191,0,156,96,191,0,0,250,188,0,118,147,191,0
1562068990013695653,254,166,167,143,34,0,0,0,96,85,206,55,33,0,0,0,66,59,192,55,33,0,0,0,0,0,21,61,0,0,66,189,0,112,124,191,0,164,53,191,0,160,12,190,0,32,75,191,0
1562068990023211223,200,98,64,144,34,0,0,0,248,14,104,56,33,0,0,0,10,198,88,56,33,0,0,0,0,0,18,61,0,0,99,189,0,64,125,191,0,144,226,190,0,208,4,190,0,214,131,191,0
1562068990033094773,147,30,217,144,34,0,0,0,20,191,255,56,33,0,0,0,176,124,241,56,33,0,0,0,0,0,43,61,0,0,90,189,0,48,125,191,0,80,67,191,0,80,67,190,0,108,104,191,0
1562068990046765771,92,146,113,145,34,0,0,0,132,26,152,57,33,0,0,0,174,234,137,57,33,0,0,0,0,0,24,61,0,0,92,189,0,128,124,191,0,116,61,191,0,128,187,60,0,154,141,191,0
1562068990053226505,38,78,10,146,34,0,0,0,2,159,48,58,33,0,0,0,58,162,34,58,33,0,0,0,0,0,47,61,0,0,86,189,0,160,126,191,0,176,51,191,0,192,90,61,0,214,131,191,0
1562068990063172979,239,193,162,146,34,0,0,0,34,14,201,58,33,0,0,0,238,14,187,58,33,0,0,0,0,0,37,61,0,0,83,189,0,208,125,191,0,28,34,191,0,176,51,62,0,154,141,191,0
1562068990073334407,185,125,59,147,34,0,0,0,188,223,97,59,33,0,0,0,24,206,83,59,33,0,0,0,0,0,62,61,0,0,79,189,0,208,124,191,0,220,2,191,0,192,218,189,0,60,112,191,0
1562068990083120282,130,241,211,147,34,0,0,0,214,109,250,59,33,0,0,0,202,80,236,59,33,0,0,0,0,0,73,61,0,0,83,189,0,64,124,191,0,128,59,191,0,64,28,61,0,202,133,191,0
1562068990093191878,77,173,108,148,34,0,0,0,70,35,147,60,33,0,0,0,162,248,132,60,33,0,0,0,0,0,19,61,0,0,97,189,0,128,126,191,0,232,253,190,0,0,122,60,0,108,104,191,0
1562068990103218390,22,33,5,149,34,0,0,0,248,170,43,61,33,0,0,0,32,105,29,61,33,0,0,0,0,0,39,61,0,0,84,189,0,0,126,191,0,228,84,191,0,64,156,189,0,108,104,191,0
1562068990113032049,224,220,157,149,34,0,0,0,110,60,196,61,33,0,0,0,248,26,182,61,33,0,0,0,0,0,29,61,0,0,76,189,0,96,125,191,0,232,253,190,0,128,187,188,0,232,125,191,0
1562068990123156245,167,8,54,150,34,0,0,0,176,197,92,62,33,0,0,0,108,114,78,62,33,0,0,0,0,0,0,61,0,0,123,189,0,64,125,191,0,152,55,191,0,80,67,190,0,136,144,191,0
1562068990133623229,114,196,206,150,34,0,0,0,112,58,245,62,33,0,0,0,126,43,231,62,33,0,0,0,0,0,34,61,0,0,72,189,0,240,125,191,0,28,34,191,0,176,51,190,0,220,130,191,0
1562068990143194951,58,56,103,151,34,0,0,0,0,148,141,63,33,0,0,0,24,138,127,63,33,0,0,0,0,0,44,61,0,0,79,189,0,16,125,191,0,116,61,191,0,160,12,62,0,196,134,191,0
1562068990153169331,7,60,0,152,34,0,0,0,150,120,38,64,33,0,0,0,160,109,24,64,33,0,0,0,0,0,58,61,0,0,99,189,0,80,124,191,0,32,75,191,0,208,4,62,0,84,108,191,0
1562068990163140091,208,175,152,152,34,0,0,0,126,237,190,64,33,0,0,0,242,195,176,64,33,0,0,0,0,0,73,61,0,0,88,189,0,80,124,191,0,236,41,191,0,128,187,60,0,106,149,191,0
1562068990174142262,152,35,49,153,34,0,0,0,114,131,87,65,33,0,0,0,16,108,73,65,33,0,0,0,0,0,57,61,0,0,60,189,0,144,125,191,0,68,69,191,0,128,187,60,0,220,127,191,0
1562068990183879551,99,223,201,153,34,0,0,0,156,36,240,65,33,0,0,0,94,7,226,65,33,0,0,0,0,0,32,61,0,0,72,189,0,176,123,191,0,236,41,191,0,176,51,190,0,20,77,191,0
1562068990193167802,45,155,98,154,34,0,0,0,78,197,136,66,33,0,0,0,16,168,122,66,33,0,0,0,0,0,5,61,0,0,114,189,0,192,121,191,0,32,75,191,0,64,156,61,0,220,127,191,0
1562068990203337788,246,14,251,154,34,0,0,0,156,86,33,67,33,0,0,0,70,41,19,67,33,0,0,0,0,0,39,61,0,0,79,189,0,160,127,191,0,68,69,191,0,0,250,60,0,36,116,191,0
1562068990213156653,193,202,147,155,34,0,0,0,108,1,186,67,33,0,0,0,148,221,171,67,33,0,0,0,0,0,30,61,0,0,79,189,0,32,127,191,0,100,22,191,0,0,122,189,0,208,132,191,0
1562068990223259841,136,246,43,156,34,0,0,0,116,146,82,68,33,0,0,0,42,64,68,68,33,0,0,0,0,0,18,61,0,0,114,189,0,176,122,191,0,212,45,191,0,160,140,61,0,60,112,191,0
1562068990233138065,82,178,196,156,34,0,0,0,142,7,235,68,33,0,0,0,234,245,220,68,33,0,0,0,0,0,46,61,0,0,79,189,0,96,124,191,0,224,43,191,0,224,171,189,0,220,127,191,0
1562068990244711052,29,110,93,157,34,0,0,0,104,128,131,69,33,0,0,0,166,120,117,69,33,0,0,0,0,0,36,61,0,0,83,189,0,64,125,191,0,136,16,191,0,208,4,62,0,208,132,191,0
1562068990253120299,232,41,246,157,34,0,0,0,78,36,28,70,33,0,0,0,146,32,14,70,33,0,0,0,0,0,29,61,0,0,91,189,0,176,125,191,0,200,47,191,0,128,59,190,0,232,125,191,0
1562068990263073053,176,157,142,158,34,0,0,0,106,141,180,70,33,0,0,0,34,132,166,70,33,0,0,0,0,0,45,61,0,0,103,189,0,128,125,191,0,120,230,190,0,160,12,190,0,12,120,191,0
